,age,State_gov,bachelors,edu_years,never_married,adm_clerical,not_in_family,race,gender,capital_gain,capital_loss,work_hours,country,salary
56,35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,0
57,41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,0
58,30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,0
59,30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,0
60,32, ?, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?,0
61,48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
62,42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1
63,29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,0
64,36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
65,28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
66,53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1
67,49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
68,25, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
69,19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,0
70,31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,0
71,29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,1
72,23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
73,79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,0
74,27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,0
75,40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0
76,67, ?, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States,0
77,18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,0
78,31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0
79,18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,0
80,52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,0
81,46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,0
82,59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,0
83,44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,1
84,53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,0
85,49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
86,33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
87,30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
88,43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,1
89,57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
90,37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,0
91,28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,0
92,30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35, ?,0
93,34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
94,29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,0
95,48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,1
96,37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,1
97,48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,0
98,32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,0
99,76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
100,44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,1
101,47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,0
102,20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0
103,29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
104,32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,1
105,17, ?, 10th,6, Never-married, ?, Own-child, White, Female,34095,0,32, United-States,0
106,30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
107,31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
108,42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
109,24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0
110,38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
111,56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada,1
112,28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,0
113,36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0
114,53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,0
115,56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
116,49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
117,55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,0
118,22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,0
119,21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
120,40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
121,30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,0
122,29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
123,19, Private, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,0
124,47, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1
125,20, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States,0
126,31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
127,35, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,0
128,39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
129,28, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,0
130,24, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,0
131,38, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States,0
132,37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
133,46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,0
134,38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,1
135,43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
136,27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,0
137,20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0
138,49, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1
139,61, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
140,27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
141,19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,0
142,45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States,1
143,70, Private, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,0
144,31, Private, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,0
145,22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,0
146,36, Private, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,0
147,64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States,0
148,43, ?, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,0
149,47, Local-gov, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,0
150,34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
151,33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,0
152,21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,0
153,52, ?, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States,1
154,48, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,0
155,23, Private, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
156,71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States,0
157,29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
158,42, Private, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,0
159,68, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States,0
160,25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,0
161,44, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,0
162,28, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,0
163,45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
164,36, Private, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,0
165,39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,0
166,46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,0
167,18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,0
168,66, Local-gov, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,0
169,27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,0
170,28, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0
171,51, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States,1
172,27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,0
173,28, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
174,27, Private, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,0
175,21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,0
176,34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,0
177,18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,0
178,33, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,0
179,44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,1
180,43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
181,30, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,0
182,40, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,1
183,37, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,1
184,34, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,0
185,41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
186,53, ?, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States,0
187,31, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,0
188,58, State-gov, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States,1
189,38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,0
190,24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
191,41, Local-gov, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
192,47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,0
193,41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,0
194,23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,0
195,36, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
196,40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States,1
197,35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,1
198,24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
199,26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States,0
200,19, ?, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40, Italy,0
201,51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
202,42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States,0
203,37, State-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,0
204,18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
205,36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States,1
206,35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
207,58, Self-emp-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States,1
208,17, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,12, United-States,0
209,44, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0
210,37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
211,35, Private, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
212,60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,0
213,54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,1
214,37, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States,1
215,50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0
216,38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,0
217,45, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States,0
218,25, Private, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
219,31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
220,64, ?, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,0,0,40, United-States,0
221,90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,0
222,54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,0
223,53, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States,0
224,18, Private, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
225,60, ?, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States,0
226,66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States,0
227,75, Private, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia,0
228,65, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
229,35, Private, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States,0
230,41, Private, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States,0
231,25, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States,0
232,33, Private, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States,0
233,28, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,1
234,59, State-gov, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
235,40, State-gov, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,0
236,41, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran,1
237,38, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,1
238,23, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
239,40, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
240,41, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States,0
241,24, State-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States,0
242,20, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,20, United-States,0
243,38, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States,0
244,56, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, ?,0
245,58, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,1
246,32, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,34, United-States,0
247,40, Private, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, United-States,1
248,45, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, ?,0
249,41, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,1
250,42, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States,0
251,59, Local-gov, 10th,6, Widowed, Other-service, Unmarried, Black, Female,0,0,30, United-States,0
252,19, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
253,58, Private, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, United-States,0
254,42, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia,1
255,20, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
256,32, Private, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,30, United-States,0
257,45, Private, Assoc-voc,11, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States,0
258,50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
259,36, Private, Bachelors,13, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
